id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,out,pass_outswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_switch,off_camera,pass_cross,clearance_left_foot,dribble_overrun,dribble_nutmeg,clearance_right_foot,pass_no_touch,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_first_time,clearance_other,pass_miscommunication,clearance_aerial_won,pass_through_ball,ball_recovery_recovery_failure,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_won_defensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,50_50_outcome_id,50_50_outcome_name,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,pass_cut_back,miscontrol_aerial_won,pass_straight,foul_committed_type_id,foul_committed_type_name,count,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,initial_distance,final_distance_pass,final_distance_carry,is_deep_completion,pass_inswinging,pass_deflected,injury_stoppage_in_chain,shot_one_on_one,bad_behaviour_card_id,bad_behaviour_card_name,shot_deflected,block_deflection,foul_committed_penalty,foul_won_penalty,block_save_block,goalkeeper_punched_out,player_off_permanent,shot_saved_off_target,goalkeeper_shot_saved_off_target,shot_saved_to_post,goalkeeper_shot_saved_to_post,shot_open_goal,goalkeeper_penalty_saved_to_post,dribble_no_touch,block_offensive,shot_follows_dribble,ball_recovery_offensive,shot_redirect,goalkeeper_lost_in_play,goalkeeper_success_in_play
884d26d0-16e5-4913-adce-b1a6dfa65174,55,1,00:00:33.482,0,33,4,1.961564,30,Pass,796,Russia,1,Regular Play,796,Russia,,,['a2cdbd22-4e53-4022-8f9f-e543bc7825ec'],"[101.4, 72.4]",5170.0,Mário Figueira Fernandes,7.0,Right Wing Back,20845.0,Magomed Ozdoev,21.377558,-0.7390737,1.0,Ground Pass,"[117.2, 58.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,101.4,72.4,117.2,58.0,,,37.35933618253944,18.21647605877712,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
f565edd6-3efc-4030-adbf-ede0e9fb4780,121,1,00:02:53.237,2,53,7,1.271364,30,Pass,796,Russia,7,From Goal Kick,1835,Finland,,,['721a5c01-d352-4c1c-a3c8-5ce0d1188dc2'],"[104.3, 72.9]",15416.0,Jukka Raitala,7.0,Right Wing Back,9725.0,Joel Pohjanpalo,30.69609,-1.3574277,3.0,High Pass,"[110.8, 42.9]",40.0,Right Foot,,,,,,,,,,,,,76.0,Pass Offside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,104.3,72.9,110.8,42.9,,,36.454080704360116,9.64624279188535,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
171f2516-4e4a-4efc-af20-fd920c163b75,210,1,00:05:41.452,5,41,8,1.794753,30,Pass,796,Russia,3,From Free Kick,796,Russia,,,['860aadd6-fb6a-4b34-b943-92f0a3d481a4'],"[91.6, 68.2]",20845.0,Magomed Ozdoev,9.0,Right Defensive Midfield,5195.0,Artem Dzyuba,37.438618,-1.0354158,3.0,High Pass,"[110.7, 36.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,91.6,68.2,110.7,36.0,,,40.022493675432074,10.123734488813895,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
c909b588-d309-456c-8586-4f36469be9e1,425,1,00:09:38.632,9,38,16,0.804051,30,Pass,796,Russia,1,Regular Play,796,Russia,,,['95152ea6-db9c-45a1-83fb-bd3073f1bb53'],"[103.3, 16.4]",5179.0,Daler Kuzyaev,8.0,Left Wing Back,6299.0,Aleksey Miranchuk,17.266151,1.1278712,2.0,Low Pass,"[110.7, 32.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,103.3,16.4,110.7,32.0,,,28.911070543997504,12.267436570041841,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
c621353f-7b45-4987-a3a6-524a0dc50998,507,1,00:11:47.325,11,47,20,1.21697,30,Pass,796,Russia,1,Regular Play,796,Russia,,,['6ddd15cc-7e15-4eea-ac3c-92297f745135'],"[86.0, 68.8]",20845.0,Magomed Ozdoev,9.0,Right Defensive Midfield,5195.0,Artem Dzyuba,29.920061,-0.92528987,1.0,Ground Pass,"[104.0, 44.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,86.0,68.8,104.0,44.9,,,44.55827644781606,16.73349933516597,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
d950ca89-824a-4a97-a9c4-6d59b269aa14,558,1,00:12:46.333,12,46,22,0.574295,30,Pass,796,Russia,6,From Counter,796,Russia,,,['bbf734a7-36e8-4ed8-8f61-d20f8bb3891b'],"[95.6, 28.4]",6299.0,Aleksey Miranchuk,18.0,Right Attacking Midfield,5195.0,Artem Dzyuba,12.80039,0.80197126,1.0,Ground Pass,"[104.5, 37.6]",38.0,Left Foot,,,,,,,,,,,,,76.0,Pass Offside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,95.6,28.4,104.5,37.6,,,27.017031665229254,15.684705926475,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
14f946b2-253d-405d-8544-16637ab41690,709,1,00:17:10.061,17,10,32,1.876331,30,Pass,796,Russia,4,From Throw In,796,Russia,,,['4ede37d9-8b23-4a61-957b-8d366e101eaa'],"[91.8, 74.7]",20845.0,Magomed Ozdoev,9.0,Right Defensive Midfield,5195.0,Artem Dzyuba,33.65056,-1.1417094,3.0,High Pass,"[105.8, 44.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,91.8,74.7,105.8,44.1,,,44.71386809480925,14.780054127099808,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
a60659ac-4c54-420d-b8af-aa08e563f282,840,1,00:19:11.925,19,11,36,3.343104,30,Pass,796,Russia,1,Regular Play,796,Russia,,,['e1a16b16-7211-4c57-bbc7-091049f76126'],"[95.1, 17.8]",5177.0,Aleksandr Golovin,20.0,Left Attacking Midfield,5170.0,Mário Figueira Fernandes,45.62817,0.99616677,3.0,High Pass,"[119.9, 56.1]",40.0,Right Foot,,,,,,,,,,,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,95.1,17.8,119.9,56.1,,,33.3594064695402,16.100310556011024,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
8c91e4ea-c7ec-445c-b7da-1e886a87a594,852,1,00:19:51.642,19,51,37,1.518747,30,Pass,1835,Finland,7,From Goal Kick,1835,Finland,,,['fed75eec-ea42-4f1d-9805-50b9cc6ced54'],"[81.2, 38.5]",24321.0,Robin Lod,13.0,Right Center Midfield,9725.0,Joel Pohjanpalo,19.586985,0.13828696,1.0,Ground Pass,"[100.6, 41.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,Through Ball,,,,,,,,,,,,,,1215b0dc-81fb-4416-b9a6-0faf150a4e8d,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,1,81.2,38.5,100.6,41.2,,,38.828984019672724,19.437077969694936,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
ff6cdca1-218b-4878-9b77-c8ddcb342a3c,930,1,00:22:21.723,22,21,41,1.496116,30,Pass,796,Russia,3,From Free Kick,796,Russia,,,['9947196a-a8b4-45e9-844d-f476be1f8c3b'],"[92.2, 3.9]",5179.0,Daler Kuzyaev,8.0,Left Wing Back,5177.0,Aleksandr Golovin,25.644493,0.7246993,3.0,High Pass,"[111.4, 20.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,92.2,3.9,111.4,20.9,,,45.56369168537597,20.946837470128994,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2a99a989-0356-47ac-ae74-272cf2fea142,934,1,00:22:26.560,22,26,41,1.954975,30,Pass,796,Russia,3,From Free Kick,796,Russia,,,"['86bab029-5440-4e46-80fd-6ec97d063395', 'dc1b9925-138e-45bc-b6d9-266ea866fc6e']","[110.1, 13.9]",5177.0,Aleksandr Golovin,20.0,Left Attacking Midfield,5170.0,Mário Figueira Fernandes,30.220026,1.5343885,3.0,High Pass,"[111.2, 44.1]",40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,110.1,13.9,111.2,44.1,,,27.914512354687485,9.708243919473798,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
f4120265-3202-4437-a661-9abaaa34bdf7,1027,1,00:27:39.136,27,39,46,0.552805,30,Pass,796,Russia,4,From Throw In,796,Russia,,,['d455da6e-75d9-42fd-ac48-e8a00cbeee9f'],"[98.3, 31.0]",6299.0,Aleksey Miranchuk,18.0,Right Attacking Midfield,5177.0,Aleksandr Golovin,8.0,-0.6435011,1.0,Ground Pass,"[104.7, 26.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,98.3,31.0,104.7,26.2,,,23.492339176846567,20.60412580043133,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
